CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,1,1,27.84,2.50,1.58,"3,150",1.69,3.42,"6,300",167.00,"6,300",9.60,12.17,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",1.69,2.49,"6,300",168.00,"6,300",10.59,12.37,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",1.71,2.24,"6,300",169.00,"3,150",11.63,13.26,"3,150",-,-,-,-,-,-,
,165,70,186,28.72,1.92,-0.36,"3,150",1.92,1.98,"3,150",170.00,"3,150",12.91,13.51,"3,150",-0.09,13.06,31.05,12,8,20,
,2,2,2,29.02,1.76,1.12,"3,150",0.18,3.21,"6,300",171.00,"3,150",12.05,16.10,"3,150",-,-,-,-,-,-,
,5,-,-,-,5.27,-,"3,150",0.41,1.67,"6,300",172.00,"3,150",13.28,15.51,"3,150",-,-,-,-,-,-,
,2,-,-,-,1.50,-,"3,150",0.38,1.48,"6,300",173.00,"3,150",14.19,16.32,"3,150",-,-,-,-,-,-,
,2,2,2,30.32,1.41,-8.13,"6,300",0.02,1.34,"6,300",174.00,"6,300",14.83,17.20,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",0.04,2.97,"6,300",176.00,"6,300",16.79,37.43,"9,450",-,19.50,-,-,-,10,
,-,-,-,-,-,-,"6,300",0.02,3.84,"3,150",178.00,"3,150",18.72,38.37,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",0.16,1.99,"3,150",180.00,"6,300",21.01,22.54,"6,300",0.40,21.75,34.18,2,2,21,
,-,-,-,-,-,-,-,-,-,-,192.00,-,-,-,-,-,50.00,-,-,-,1,
