CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"2,849.20",-,"1,755","4,046.10","4,985.50","1,690","20,100.00",650,18.55,19.60,325,3.80,18.65,32.14,"2,330",622,"2,755",
,1,-,-,-,"2,854.10",-,"1,040","4,002.90","4,454.25",195,"20,150.00",65,14.15,20.10,65,-,-,-,-,-,-,
,1,-,-,-,"2,489.35",-,"1,690","3,957.75","4,428.10",195,"20,200.00",65,15.15,20.10,65,-,-,-,-,-,-,
,1,-,-,-,"2,404.65",-,65,"3,911.95","5,228.05",65,"20,250.00",65,15.15,20.15,65,-,-,-,-,-,-,
,1,-,-,-,"2,370.05",-,"1,690","3,856.95","5,178.40",65,"20,300.00",65,15.15,-,-,-,-,-,-,-,-,
,1,-,-,-,"2,328.65",-,"1,690","3,810.35",-,-,"20,350.00",65,15.15,-,-,19.55,19.75,30.73,12,12,12,
,1,-,-,-,"2,287.45",-,"1,690","3,754.55","4,273.55","1,755","20,400.00",260,17.60,27.10,650,4.05,22.55,31.05,69,26,38,
,1,-,-,-,"2,246.45",-,"1,755","3,715.95","5,029.10",65,"20,450.00",260,19.15,-,-,19.90,20.15,30.15,30,30,30,
,49,1,3,-,"3,973.60",123.60,65,"3,748.00","3,971.15",195,"20,500.00",130,23.95,25.00,520,5.95,24.95,30.89,"3,550",672,"4,293",
,1,-,-,-,"2,617.90",-,65,"3,613.85","4,077.70","1,690","20,550.00",65,19.25,30.95,65,2.40,23.10,30.14,50,36,43,
,1,-,-,-,"2,575.80",-,65,"3,571.05","4,028.25","1,690","20,600.00",130,24.45,33.90,195,3.20,24.00,29.99,86,37,53,
,2,-,-,-,"2,799.30",-,"1,755","3,522.00","3,969.80",65,"20,650.00",65,19.15,32.95,65,2.75,23.65,29.57,24,21,34,
,2,-,-,-,"2,504.80",-,"1,690","3,415.35","3,907.95","1,690","20,700.00","2,925",20.50,-,-,-,-,-,-,-,-,
,1,-,-,-,"2,714.00",-,"1,755","3,376.15","3,839.40","1,690","20,750.00","2,925",20.55,-,-,-,-,-,-,-,-,
