CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",65,25.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"16,500.00",65,20.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"18,000.00",65,65.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"19,500.00",65,85.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,000.00",65,95.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,500.00","1,300",0.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,000.00",65,115.00,-,-,-,694.05,-,-,-,2,
,-,-,-,-,-,-,-,-,-,-,"25,500.00","1,300",0.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"26,000.00",65,125.00,-,-,-,900.00,-,-,-,1,
,-,-,-,-,-,-,-,-,-,-,"27,000.00",65,145.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,780,65.25,-,-,"31,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,116.25,-,-,"33,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,455,120.25,-,-,"34,500.00",-,-,-,-,-,-,-,-,-,-,
