CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,85,7,46,29.57,3.62,-0.55,"6,300",3.30,3.55,"3,150",156.00,"3,150",1.94,2.03,"6,300",-0.03,1.99,32.81,91,-,297,
,103,-2,64,32.91,3.33,-0.25,"3,150",2.88,2.99,"3,150",157.00,"3,150",2.37,2.47,"3,150",0.01,2.43,32.92,113,27,107,
,174,-5,210,28.11,2.40,-0.68,"3,150",2.39,2.55,"3,150",158.00,"3,150",2.87,2.97,"3,150",0.13,3.00,33.89,901,19,100,
,109,4,74,28.84,2.01,-0.61,"3,150",1.96,2.56,"6,300",159.00,"3,150",3.42,3.56,"3,150",0.13,3.50,33.42,28,1,32,
,658,-9,939,28.99,1.63,-0.56,"9,450",1.61,1.68,"6,300",160.00,"9,450",4.01,4.16,"3,150",0.30,4.20,34.68,122,5,447,
,66,-13,43,29.81,1.36,-0.47,"3,150",0.62,1.36,"3,150",161.00,"15,750",4.02,5.64,"6,300",0.07,4.43,30.86,-,-,9,
,81,-3,80,30.29,1.11,-0.38,"3,150",1.04,1.11,"6,300",162.00,"3,150",5.42,5.67,"6,300",-0.05,5.07,28.50,1,-1,5,
,46,-12,44,30.45,0.88,-0.38,"3,150",0.86,0.89,"3,150",163.00,"9,450",5.96,7.41,"9,450",-,-,-,-,-,-,
,35,-4,17,30.59,0.69,-0.34,"3,150",0.67,0.71,"3,150",164.00,"3,150",6.16,8.13,"9,450",-,19.50,-,-,-,1,
,354,20,490,31.38,0.57,-0.28,"9,450",0.53,0.56,"3,150",165.00,"6,300",7.91,8.11,"3,150",0.35,8.10,38.94,43,-21,162,
,40,-,-,33.19,0.71,-,"6,300",0.22,1.05,"3,150",166.00,"15,750",7.88,9.99,"15,750",-,28.80,-,-,-,1,
,166,41,162,32.42,0.37,-0.21,"6,300",0.33,0.38,"6,300",167.00,"15,750",8.79,10.88,"9,450",-,22.40,-,-,-,9,
,60,-,-,33.99,0.48,-,"3,150",0.18,1.40,"15,750",168.00,"15,750",9.73,11.83,"15,750",-,-,-,-,-,-,
,18,-2,5,33.81,0.25,-0.35,"3,150",0.17,0.37,"3,150",169.00,"15,750",10.68,12.77,"9,450",-,-,-,-,-,-,
,714,-11,293,34.99,0.22,-0.10,"15,750",0.20,0.23,"15,750",170.00,"3,150",11.62,13.13,"3,150",0.03,12.55,42.34,9,-9,157,
,-,-,-,-,-,-,"6,300",0.03,1.15,"15,750",171.00,"15,750",12.60,14.70,"15,750",-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",0.03,1.04,"47,250",172.00,"15,750",13.57,15.67,"15,750",-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",0.03,0.96,"47,250",173.00,"15,750",14.54,16.64,"15,750",-,35.00,-,-,-,1,
,2,-,-,-,1.96,-,"6,300",0.03,0.37,"50,400",174.00,"15,750",15.51,17.62,"15,750",-,31.85,-,-,-,1,
,138,-5,33,39.77,0.11,-0.01,"12,600",0.05,0.10,"9,450",175.00,"15,750",16.47,18.05,"3,150",0.41,17.60,55.50,5,-1,130,
,5,-,-,39.72,0.14,-,"9,450",0.02,1.59,"1,60,650",176.00,"15,750",17.48,19.58,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,177.00,"12,600",18.46,20.57,"12,600",-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",0.02,20.00,"47,250",178.00,"12,600",19.45,21.56,"12,600",-,-,-,-,-,-,
,227,-12,150,41.84,0.04,-0.01,"2,14,200",0.03,0.05,"28,350",180.00,"3,150",21.85,22.84,"3,150",1.50,22.30,55.99,6,1,153,
,1,-,-,-,0.07,-,"3,150",0.01,0.79,"6,300",182.00,"9,450",23.40,25.42,"3,150",-,30.10,-,-,-,12,
,31,20,20,47.81,0.04,-,"3,150",0.02,0.05,"15,750",184.00,"9,450",25.39,26.82,"3,150",0.15,26.15,54.59,3,2,12,
,3,-,-,-,0.03,-,"3,150",0.02,6.86,"3,150",186.00,"9,450",27.40,29.51,"9,450",-,28.00,-,-,-,1,
,2,-,-,-,1.16,-,"3,150",0.01,19.66,"3,150",188.00,"9,450",29.36,31.47,"9,450",-,29.85,64.82,-,-,7,
,51,5,10,54.43,0.03,-,"1,41,750",0.01,0.08,"6,300",190.00,"6,300",31.34,33.45,"6,300",-,32.22,82.13,-,-,86,
,114,-23,29,57.11,0.02,0.01,-,-,0.03,"6,300",194.00,"6,300",35.20,37.35,"6,300",-,38.50,-,-,-,995,
