CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"4,302.85",-,780,"3,857.45","4,252.55",845,"20,100.00","39,715",0.25,0.30,"17,615",-,0.30,116.84,"40,811","-14,808","14,450",
,-,-,-,-,-,-,780,"4,083.40","4,216.20",780,"20,150.00","1,170",0.25,0.35,"3,185",-,0.35,116.88,"5,371",175,"1,381",
,-,-,-,-,-,-,780,"4,037.80","4,233.10",780,"20,200.00","1,755",0.25,0.30,"3,965",-0.05,0.25,112.41,"6,868",-215,"2,609",
,-,-,-,-,-,-,390,"3,998.80","4,222.60",780,"20,250.00","8,775",0.25,0.35,"2,080",-0.05,0.25,111.03,994,-63,444,
,-,-,-,-,-,-,780,"3,491.40","4,136.85",780,"20,300.00","12,870",0.25,0.30,195,-,0.30,111.26,"4,677",-845,913,
,-,-,-,-,-,-,780,"3,516.75","4,088.30",780,"20,350.00","1,625",0.30,0.40,"2,080",-0.10,0.25,108.29,"2,878",-16,863,
,-,-,-,-,-,-,780,"3,588.35","4,044.65",780,"20,400.00","7,865",0.25,0.30,"1,560",-0.05,0.25,106.92,"3,736",-300,775,
,-,-,-,-,-,-,780,"3,802.15","3,985.95",780,"20,450.00","8,840",0.25,0.35,"1,365",-0.10,0.25,105.55,"1,204",-59,501,
,1,-,-,-,"3,730.00",-,780,"3,752.85","3,858.30",65,"20,500.00","28,470",0.25,0.30,"22,880",-,0.30,105.71,"44,676","-18,071","6,849",
,-,-,-,-,-,-,780,"3,701.90","3,896.40",780,"20,550.00","7,150",0.25,0.40,"2,145",0.05,0.40,106.84,989,30,225,
,-,-,-,-,-,-,780,"3,650.60","3,836.35",780,"20,600.00","24,960",0.25,0.45,"7,930",-0.10,0.25,101.47,"11,701","-3,369","1,624",
,-,-,-,-,-,-,780,"3,223.70","3,789.85",780,"20,650.00","4,030",0.25,0.40,"3,445",0.05,0.40,104.03,613,-4,285,
,-,-,-,-,-,-,780,"3,556.35","3,733.05",780,"20,700.00",390,0.25,0.45,"1,950",-0.10,0.30,100.21,"10,070",34,"1,775",
,-,-,-,-,-,-,780,"3,192.45","3,688.40",780,"20,750.00",390,0.35,0.55,"6,240",-0.10,0.35,100.10,"1,139",-55,266,
,-,-,-,-,-,-,780,"3,450.10","3,683.05",780,"20,800.00","2,275",0.35,0.50,"2,470",-0.10,0.35,98.72,"9,841","-1,197","3,286",
,-,-,-,-,-,-,780,"3,404.40","3,511.55",780,"20,850.00",845,0.35,0.45,325,-0.10,0.40,98.43,"1,552",2,209,
,-,-,-,-,-,-,780,"3,358.65","3,541.80",780,"20,900.00","8,710",0.25,0.55,"7,410",-0.20,0.25,93.35,"5,506",-317,"1,777",
,-,-,-,-,-,-,780,"3,301.35","3,531.50",910,"20,950.00","5,265",0.35,0.60,"2,080",-0.10,0.40,95.65,"1,247",175,568,
,8,-,-,-,"2,882.55",-,780,"3,249.35","3,361.90",65,"21,000.00","25,610",0.45,0.50,"10,140",-,0.45,95.22,"46,196","-12,180","21,605",
,-,-,-,-,-,-,780,"3,008.15","3,418.65",780,"21,050.00","2,340",0.35,0.60,"5,590",-,0.45,93.82,"1,917",-168,440,
,1,-1,2,-,"3,260.00",640.00,65,"3,151.90","3,234.55",130,"21,100.00",65,0.45,0.60,"1,430",-0.05,0.40,91.49,"13,929","-3,172","3,077",
,-,-,-,-,-,-,780,"2,842.05","3,287.60",780,"21,150.00","5,395",0.35,0.65,"4,095",-0.15,0.35,89.08,"1,585",48,914,
,1,-1,1,113.62,"3,175.00",105.95,65,"2,981.55","3,130.70",65,"21,200.00","1,235",0.40,0.50,"1,755",-0.20,0.40,88.72,"10,966","-2,017","2,366",
,-,-,-,-,-,-,780,"3,002.90","3,212.50",780,"21,250.00","7,735",0.35,0.65,"1,950",-0.10,0.40,87.34,"1,834",55,865,
,-,-,-,-,-,-,780,"2,877.45","3,152.25",780,"21,300.00",130,0.55,0.65,"2,535",0.05,0.65,89.78,"5,631",-427,"2,834",
