CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"1,442.80",-,65,"2,346.85","3,756.30",65,"21,850.00","3,575",70.45,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,369.60",-,65,"2,273.30",-,-,"21,900.00","3,510",75.40,-,-,-,-,-,-,-,-,
,5,-,-,-,"1,345.70",-,"1,560","2,253.55",-,-,"21,950.00","3,575",80.60,-,-,-,-,-,-,-,-,
,"1,540",-268,911,-,"2,687.65",-21.20,65,"2,675.85","2,694.05",65,"22,000.00",195,138.50,139.90,65,30.00,139.40,23.43,"12,670",-810,"16,538",
,5,-,-,-,"2,400.00",-,"1,755","2,157.60","2,771.10",65,"22,050.00","10,530",91.95,-,-,-,145.00,-,-,-,61,
,7,-,-,-,"1,340.85",-,"1,170","2,112.60","2,730.50",65,"22,100.00",65,97.05,147.90,65,27.40,144.90,23.06,118,-5,81,
,5,-,-,-,"1,713.15",-,65,"2,122.30","2,674.90","1,690","22,150.00",65,148.80,164.45,65,29.45,152.20,23.09,333,22,98,
,8,-,-,-,"1,283.90",-,"1,755","2,017.25","2,617.85",65,"22,200.00",65,150.10,156.00,65,29.60,153.60,22.83,"1,225",6,471,
,6,-,-,-,"2,200.00",-,"1,755","2,042.95","2,735.50","1,690","22,250.00",65,81.00,-,-,29.90,158.40,22.72,197,-12,80,
,8,-,-,-,"1,575.00",-,"1,755","1,973.60","2,553.35","1,690","22,300.00",650,126.00,-,-,-,-,-,-,-,-,
,9,-,-,12.36,"2,446.90",-,-,-,"2,486.00",65,"22,350.00","1,820",133.95,-,-,-,176.95,-,-,-,12,
,23,-,-,-,"2,108.00",-,130,"2,260.80","2,438.85",65,"22,400.00",65,169.45,187.80,65,30.05,172.55,22.36,443,54,152,
,12,-,-,-,"1,468.75",-,"1,755","1,882.90","2,570.05","1,690","22,450.00",65,163.30,198.85,65,28.85,179.90,22.34,192,10,50,
,"2,181",-47,154,-,"2,228.30",-22.50,65,"2,219.80","2,251.10",130,"22,500.00",65,184.45,188.30,260,36.00,188.40,22.35,"15,479",-793,"8,562",
,13,-,-,-,"1,950.25",-,"1,755","1,807.30","2,411.85","1,690","22,550.00",910,19.85,214.85,65,30.15,189.55,22.06,103,8,43,
,24,-,-,-,"2,150.00",-,65,"2,016.80","2,237.85",65,"22,600.00",65,190.00,199.45,65,30.80,194.65,21.92,357,-,204,
,14,-,-,-,"2,131.95",-,"1,755","1,555.70","2,320.30","1,690","22,650.00",390,21.10,227.45,65,30.80,200.00,21.79,168,7,120,
,81,-32,32,13.39,"2,140.00",272.70,65,"2,052.00","2,139.35",65,"22,700.00",65,202.95,213.10,65,33.80,210.30,21.84,335,4,129,
,13,-,-,-,"1,979.70",-,"1,300","1,652.60","2,136.45",65,"22,750.00",65,210.55,250.50,65,29.70,211.15,21.52,132,-2,59,
,23,-,-,-,"1,720.00",-,65,"1,897.30","2,078.60",65,"22,800.00",65,216.50,237.15,65,30.85,220.00,21.50,509,65,232,
,21,-,-,-,"1,612.20",-,"1,755","1,575.00","2,081.45","1,690","22,850.00",65,223.25,240.70,65,35.55,226.65,21.39,310,-27,220,
,49,-,2,10.35,"1,921.85",46.85,65,"1,786.15","1,958.35",65,"22,900.00",65,230.50,237.80,65,34.95,236.40,21.38,274,9,186,
,20,-,-,-,"1,837.15",-,"1,755","1,503.40","1,988.10","1,690","22,950.00",65,223.90,250.90,65,34.65,242.15,21.22,124,-14,65,
,"10,501",-118,518,9.11,"1,817.85",-16.25,65,"1,801.30","1,825.35",65,"23,000.00",65,250.70,252.00,65,32.80,248.15,21.06,"11,930","2,366","35,832",
,24,-,-,-,"1,728.30",-,-,-,"1,948.80",65,"23,050.00",780,201.85,277.90,65,13.25,238.10,20.36,32,-11,47,
,31,-89,103,12.13,"1,760.20",35.20,65,"1,395.40","1,761.50","1,300","23,100.00",65,262.25,295.60,65,34.60,265.50,20.91,192,12,135,
,25,-,-,-,"1,651.30",-,"1,755","1,353.80","1,856.20",65,"23,150.00",65,263.30,293.50,65,32.70,273.55,20.81,141,13,80,
,68,-1,2,12.92,"1,686.90",86.00,325,"1,395.80","1,704.80",65,"23,200.00",65,278.35,299.95,65,36.40,281.40,20.68,361,21,271,
,42,-,-,-,"1,554.65",-,"1,755","1,326.10","1,718.25","1,690","23,250.00",65,287.10,294.00,520,32.65,290.95,20.61,122,20,103,
,45,-,1,10.73,"1,558.80",-50.00,65,"1,510.50","1,648.10","1,300","23,300.00",910,283.10,307.30,130,32.55,298.05,20.45,163,3,190,
,40,-,-,-,"1,512.90",-,"1,170","1,262.95","1,551.90",65,"23,350.00",65,246.90,377.10,"1,885",23.65,296.70,20.02,51,11,62,
,84,2,4,16.09,"1,602.20",95.75,65,"1,450.10","1,528.30",65,"23,400.00",65,315.10,325.05,65,36.05,318.65,20.30,165,-5,172,
,19,-,-,-,"1,443.35",-,"1,755","1,204.60","1,579.90",975,"23,450.00",65,327.00,391.05,390,37.75,331.45,20.28,66,-15,57,
,"1,210",1,309,12.16,"1,416.15",-6.05,65,"1,392.00","1,424.05",65,"23,500.00",65,339.30,343.30,65,43.05,343.95,20.25,"3,628",20,"5,621",
,18,-,-,11.16,"1,341.00",-,65,"1,232.80","1,463.00",65,"23,550.00",780,305.05,386.95,65,27.70,350.40,20.03,20,-7,79,
,40,-3,10,15.38,"1,428.20",116.80,325,"1,128.35","1,376.85",65,"23,600.00",65,357.30,370.20,65,37.45,363.00,19.99,186,13,212,
,17,-1,2,13.18,"1,323.30",78.15,325,"1,065.80","1,473.40","1,690","23,650.00",910,126.20,434.20,910,25.25,358.25,19.44,1,-1,37,
,47,-5,16,14.95,"1,340.00",69.85,65,"1,221.35","1,338.95",325,"23,700.00",65,385.65,390.00,65,41.35,388.40,19.86,173,13,222,
,20,-,2,12.93,"1,238.70",38.70,325,964.75,"1,311.55",65,"23,750.00",910,372.45,424.80,910,-16.40,384.50,19.34,26,-15,53,
,76,2,53,12.12,"1,175.85",-24.15,325,"1,154.45","1,228.95","1,300","23,800.00",65,410.30,414.80,65,39.90,411.70,19.65,461,78,492,
,89,1,3,12.78,"1,158.90",-12.50,65,"1,103.75","1,202.10",65,"23,850.00",910,400.60,431.50,65,13.60,397.15,18.83,57,-53,529,
,49,-10,22,13.77,"1,155.50",35.45,65,878.75,"1,158.25",65,"23,900.00",65,437.15,442.00,65,39.35,439.05,19.51,163,23,262,
,72,-18,22,14.09,"1,131.40",41.55,65,840.45,"1,198.35",975,"23,950.00",65,438.75,495.30,910,-1.35,411.40,18.34,5,1,48,
,"22,375",-310,"2,406",12.81,"1,051.00",-8.55,65,"1,048.00","1,050.00",390,"24,000.00",65,465.10,468.95,"5,850",44.80,468.95,19.39,"7,351",216,"37,422",
,81,-3,5,13.40,"1,037.25",50.20,325,771.45,"1,065.90",975,"24,050.00",65,469.40,499.90,65,-20.30,420.00,17.67,4,3,38,
,236,-26,123,13.02,989.35,-13.10,65,965.80,999.90,65,"24,100.00",325,166.00,517.25,65,41.60,496.45,19.17,277,-33,304,
