CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",65,20.00,-,-,-,39.00,-,-,-,10,
,-,-,-,-,-,-,-,-,-,-,"16,500.00",65,0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"17,000.00",130,58.10,-,-,-,62.75,-,-,-,257,
,-,-,-,-,-,-,-,-,-,-,"18,000.00",130,104.45,-,-,0.65,241.50,-,-,-,178,
,-,-,-,-,-,-,-,-,-,-,"19,000.00",195,85.00,-,-,-,244.00,-,-,-,21,
,-,-,-,-,-,-,-,-,-,-,"20,000.00",65,313.00,360.00,130,8.00,368.00,23.94,2,-1,84,
,-,-,-,-,-,-,-,-,-,-,"21,000.00",65,391.00,-,-,-,430.00,22.55,-,-,81,
,-,-,-,-,-,-,-,-,-,-,"22,000.00",65,546.70,560.00,65,4.00,548.00,21.89,4,-1,226,
,-,-,-,-,-,-,-,-,-,-,"23,000.00",65,736.75,753.60,65,19.30,740.00,21.84,12,4,394,
,214,17,33,-,"3,850.00",205.05,65,"3,699.75","3,770.20",65,"24,000.00",195,860.15,922.00,65,12.70,915.00,21.16,20,4,306,
,241,-1,26,-,"3,075.00",8.10,65,"3,009.00","3,074.95",65,"25,000.00",65,"1,132.40","1,180.00",65,36.35,"1,151.35",20.79,15,4,199,
,105,5,15,5.79,"2,475.00",21.00,65,"2,355.45","2,443.00",65,"26,000.00",65,"1,426.45","1,465.00",65,-4.00,"1,430.00",20.46,6,3,286,
,241,13,23,7.45,"1,898.00",48.00,65,"1,872.10","1,900.00",65,"27,000.00",130,"1,741.45","1,778.00",65,-14.95,"1,755.00",20.16,21,14,323,
,78,3,6,7.68,"1,120.00",40.00,130,"1,081.00","1,130.00",65,"28,500.00",65,"1,901.50","2,999.80",65,-,"2,601.00",-,-,-,4,
,204,4,12,8.36,661.00,-21.50,65,650.40,693.90,65,"30,000.00",-,-,-,-,-,-,-,-,-,-,
,4,-,-,-,456.95,-,"1,300",0.05,-,-,"31,500.00",-,-,-,-,-,-,-,-,-,-,
,25,-,-,9.84,250.00,-,65,180.40,280.00,65,"33,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,0.10,-,-,"34,500.00",-,-,-,-,-,-,-,-,-,-,
